nodes,edges,instance,beta,n_nodes,value,time
50,500,9,0.4,43,2597,158.547
50,500,9,0.6,43,2597,159.006
50,500,9,0.8,43,2597,163.122
50,500,9,1,43,2597,160.131
50,500,9,1.2,43,2597,162.358
50,500,9,1.4,42,2576,167.68
50,500,9,1.6,43,2597,160.544
50,500,9,1.8,43,2597,151.806
50,500,9,2,43,2597,71.0616
50,500,10,0.2,43,2948,166.13
50,500,10,0.4,43,2990,174.039
50,500,10,0.6,43,2948,302.232
50,500,10,0.8,44,3022,161.458
50,500,10,1,43,2948,237.804
50,500,10,1.2,43,2948,157.903
50,500,10,1.4,43,2948,157.264
50,500,10,1.6,43,2948,185.193
50,500,10,1.8,43,2955,74.4227
50,500,10,2,43,2948,70.5222
50,750,1,0.2,44,3097,186.037
50,750,1,0.4,44,3097,189.728
50,750,1,0.6,44,3097,189.277
50,750,1,0.8,44,3097,186.268
50,750,1,1,46,3199,199.037
50,750,1,1.2,46,3199,194.22
50,750,1,1.4,44,3097,184.246
50,750,1,1.6,45,3159,224.529
50,750,1,1.8,45,3159,239.683
50,750,1,2,44,3097,83.7272
50,750,2,0.2,46,2810,196.705
50,750,2,0.4,45,2746,307.254
50,750,2,0.6,45,2746,212.698
50,750,2,0.8,45,2746,271.61
50,750,2,1,46,2778,192.629
50,750,2,1.2,45,2746,225.476
50,750,2,1.4,46,2778,192.244
50,750,2,1.6,45,2750,186.961
50,750,2,1.8,45,2746,186.033
50,750,2,2,45,2750,83.9985
50,750,3,0.2,45,3080,189.255
50,750,3,0.4,45,3080,190.335
50,750,3,0.6,45,3080,189.538
50,750,3,0.8,45,3080,193.45
50,750,3,1,45,3080,188.947
50,750,3,1.2,45,3080,188.178
50,750,3,1.4,45,3080,191.277
50,750,3,1.6,45,3080,188.371
50,750,3,1.8,45,3080,178.033
50,750,3,2,45,3080,84.9371
50,750,4,0.2,46,3313,196.526
50,750,4,0.4,46,3313,197.455
50,750,4,0.6,46,3313,193.629
50,750,4,0.8,46,3313,193.745
50,750,4,1,46,3313,197.796
50,750,4,1.2,46,3313,192.874
50,750,4,1.4,46,3313,192.397
50,750,4,1.6,46,3313,194.483
50,750,4,1.8,46,3313,184.527
50,750,4,2,46,3313,86.8779
50,750,5,0.2,45,2879,202.804
50,750,5,0.4,45,2879,203.538
50,750,5,0.6,46,2944,196.736
50,750,5,0.8,46,2944,193.805
50,750,5,1,46,2944,193.152
50,750,5,1.2,45,2879,206.246
50,750,5,1.4,45,2879,212.407
50,750,5,1.6,45,2879,191.13
50,750,5,1.8,45,2879,198.421
50,750,5,2,45,2879,96.8444
50,750,6,0.2,44,3028,187.166
50,750,6,0.4,44,3028,189.801
50,750,6,0.6,44,3028,187.762
50,750,6,0.8,45,3067,192.771
50,750,6,1,45,3067,194.712
50,750,6,1.2,44,3028,187.07
50,750,6,1.4,45,3067,190.759
50,750,6,1.6,44,3028,189.966
50,750,6,1.8,44,3028,127.711
50,750,6,2,44,3028,83.3447
50,750,7,0.2,45,2811,248.388
50,750,7,0.4,45,2811,192.352
50,750,7,0.6,45,2811,190.12
50,750,7,0.8,45,2811,193.228
50,750,7,1,45,2811,190.115
50,750,7,1.2,45,2811,191.843
50,750,7,1.4,45,2818,188.347
50,750,7,1.6,46,2872,208.82
50,750,7,1.8,45,2811,85.0973
50,750,7,2,45,2811,86.0321
50,750,8,0.2,46,2932,194.383
50,750,8,0.4,45,2902,239.3
50,750,8,0.6,46,2932,196.514
50,750,8,0.8,46,2932,196.862
50,750,8,1,46,2932,197.607
50,750,8,1.2,46,2932,192.263
50,750,8,1.4,46,2932,194.898
50,750,8,1.6,45,2902,277.984
50,750,8,1.8,46,2932,86.4713
50,750,8,2,46,2932,85.8968
50,750,9,0.2,46,2772,196.165
50,750,9,0.4,45,2726,322.837
50,750,9,0.6,46,2772,194.115
50,750,9,0.8,45,2726,357.635
50,750,9,1,46,2772,193.392
50,750,9,1.2,46,2772,195.659
50,750,9,1.4,46,2772,192.486
50,750,9,1.6,46,2772,193.453
50,750,9,1.8,46,2772,86.9608
50,750,9,2,46,2772,87.2385
50,750,10,0.2,46,3392,195.772
50,750,10,0.4,46,3392,193.31
50,750,10,0.6,46,3391,194.578
50,750,10,0.8,46,3392,192.663
50,750,10,1,46,3391,192.647
50,750,10,1.2,46,3392,196.783
50,750,10,1.4,46,3391,191.489
50,750,10,1.6,46,3391,192.859
50,750,10,1.8,45,3329,179.891
50,750,10,2,45,3329,85.5137
50,1000,1,0.2,47,3319,224.457
50,1000,1,0.4,47,3319,227.11
50,1000,1,0.6,47,3319,224.099
50,1000,1,0.8,47,3319,223.969
50,1000,1,1,47,3319,225.562
50,1000,1,1.2,47,3319,227.557
50,1000,1,1.4,47,3319,221.122
50,1000,1,1.6,47,3319,221.927
50,1000,1,1.8,47,3319,100.527
50,1000,1,2,47,3319,100.182
50,1000,2,0.2,47,3348,224.688
50,1000,2,0.4,47,3348,225.434
50,1000,2,0.6,47,3348,225.723
50,1000,2,0.8,47,3348,224.623
50,1000,2,1,47,3348,226.909
50,1000,2,1.2,47,3348,224.522
50,1000,2,1.4,47,3348,222.37
50,1000,2,1.6,47,3348,222.686
50,1000,2,1.8,47,3348,99.6346
50,1000,2,2,47,3348,100.106
50,1000,3,0.2,47,3367,223.851
50,1000,3,0.4,47,3367,228.613
50,1000,3,0.6,47,3367,228.835
50,1000,3,0.8,47,3367,224.119
50,1000,3,1,47,3367,226.957
50,1000,3,1.2,47,3367,223.458
50,1000,3,1.4,47,3367,224.63
50,1000,3,1.6,47,3367,221.268
50,1000,3,1.8,47,3367,100.894
50,1000,3,2,47,3367,211.171
50,1000,4,0.2,46,3343,219.655
50,1000,4,0.4,46,3343,222.251
50,1000,4,0.6,46,3343,219.784
50,1000,4,0.8,46,3343,219.668
50,1000,4,1,46,3343,217.287
50,1000,4,1.2,46,3343,222.621
50,1000,4,1.4,46,3343,216.914
50,1000,4,1.6,46,3343,221.576
50,1000,4,1.8,46,3343,97.1451
50,1000,4,2,46,3343,97.1879
50,1000,5,0.2,47,3000,224.295
50,1000,5,0.4,47,3000,224.171
50,1000,5,0.6,47,3000,226.673
50,1000,5,0.8,47,3000,227.546
50,1000,5,1,47,3000,225.542
50,1000,5,1.2,47,3000,223.382
50,1000,5,1.4,47,3000,225.546
50,1000,5,1.6,47,3000,221.349
50,1000,5,1.8,47,3000,99.4331
50,1000,5,2,47,3000,99.1796
50,1000,6,0.2,47,3109,227.177
50,1000,6,0.4,47,3109,223.041
50,1000,6,0.6,47,3109,223.014
50,1000,6,0.8,47,3109,223.222
50,1000,6,1,47,3109,221.339
50,1000,6,1.2,47,3109,227.429
50,1000,6,1.4,47,3109,221.643
50,1000,6,1.6,47,3109,225.515
50,1000,6,1.8,47,3109,99.6536
50,1000,6,2,47,3109,178.452
50,1000,7,0.2,47,3283,223.613
50,1000,7,0.4,47,3283,223.399
50,1000,7,0.6,47,3283,223.008
50,1000,7,0.8,47,3283,227.187
50,1000,7,1,47,3283,236.052
50,1000,7,1.2,47,3283,228.519
50,1000,7,1.4,47,3283,222.467
50,1000,7,1.6,47,3283,224.9
50,1000,7,1.8,47,3283,100.309
50,1000,7,2,47,3283,210.525
50,1000,8,0.2,46,2995,222.667
50,1000,8,0.4,46,2995,221.357
50,1000,8,0.6,46,2995,219.744
50,1000,8,0.8,46,2995,219.498
50,1000,8,1,46,2995,219.01
50,1000,8,1.2,46,2995,219.16
50,1000,8,1.4,46,2995,217.489
50,1000,8,1.6,46,2995,218.985
50,1000,8,1.8,46,2995,98.0522
50,1000,8,2,46,2995,205.967
50,1000,9,0.2,47,3083,223.307
50,1000,9,0.4,47,3083,226.75
50,1000,9,0.6,47,3083,223.761
50,1000,9,0.8,47,3083,224.313
50,1000,9,1,47,3083,224.468
50,1000,9,1.2,47,3083,224.991
50,1000,9,1.4,47,3083,220.881
50,1000,9,1.6,47,3083,223.308
50,1000,9,1.8,47,3083,99.6718
50,1000,9,2,47,3083,210.45
50,1000,10,0.2,47,3279,226.814
50,1000,10,0.4,47,3279,224.423
50,1000,10,0.6,47,3279,227.09
50,1000,10,0.8,47,3279,227.232
50,1000,10,1,47,3279,221.791
50,1000,10,1.2,47,3279,223.478
50,1000,10,1.4,47,3279,224.476
50,1000,10,1.6,47,3279,225.518
50,1000,10,1.8,47,3279,99.4952
50,1000,10,2,47,3279,100.385
100,100,1,0.2,44,2634,197.28
100,100,1,0.4,44,2634,169.109
100,100,1,0.6,44,2661,153.192
100,100,1,0.8,44,2661,153.938
100,100,1,1,44,2661,162.681
100,100,1,1.2,44,2634,164.729
100,100,1,1.4,44,2661,165.01
100,100,1,1.6,44,2661,163.324
100,100,1,1.8,44,2661,214.197
100,100,1,2,44,2634,248.408
100,100,2,0.2,42,2335,163.661
100,100,2,0.4,42,2335,145.746
100,100,2,0.6,42,2335,149.448
100,100,2,0.8,42,2335,152.315
