nodes,edges,instance,n_nodes,value,time,opt
200,2000,6,166,10505,299.856158018112,0
200,2000,7,159,10367,299.656416654587,0
200,2000,8,166,10721,299.740489244461,0
200,2000,9,163,10972,299.622341156006,0
200,2000,10,161,11068,299.697769403458,0
200,3000,1,173,10925,299.383429765701,0
200,3000,2,171,11462,299.311948537827,0
200,3000,3,174,11633,299.277053356171,0
200,3000,4,175,12227,299.144277334213,0
200,3000,5,173,11846,299.500448465347,0
200,3000,6,175,11826,299.494520902634,0
200,3000,7,173,11748,299.243421554565,0
200,3000,8,172,11304,299.214854478836,0
200,3000,9,174,11234,299.147121906281,0
200,3000,10,173,11447,299.324738740921,0
250,250,1,105,6236,0.0422968864440918,1
250,250,2,104,6162,0.0415022373199463,1
250,250,3,102,6071,0.041745662689209,1
250,250,4,101,5479,0.0402002334594727,1
250,250,5,104,5937,0.0426509380340576,1
250,250,6,101,6219,0.0319259166717529,1
250,250,7,101,6186,0.0926756858825684,1
250,250,8,104,6340,0.0411462783813477,1
250,250,9,104,6148,0.0445282459259033,1
250,250,10,100,5655,0.031543493270874,1
250,500,1,136,8227,4.3077507019043,1
250,500,2,134,8021,0.159428596496582,1
250,500,3,141,8369,0.209797382354736,1
250,500,4,137,8311,0.357851028442383,1
250,500,5,135,8321,2.78697943687439,1
250,500,6,132,8312,0.177946329116821,1
250,500,7,135,8104,2.16216468811035,1
250,500,8,138,8528,4.94489979743958,1
250,500,9,132,8193,0.0786943435668945,1
250,500,10,136,8208,0.380508184432983,1
250,750,1,155,10303,74.5588812828064,1
250,750,2,148,9258,7.46177482604981,1
250,750,3,157,9603,21.1803059577942,1
250,750,4,154,10394,70.0990474224091,1
250,750,5,153,9949,18.7408058643341,1
250,750,6,155,9989,19.2864320278168,1
250,750,7,159,9703,39.3733403682709,1
250,750,8,157,9991,22.6754870414734,1
250,750,9,155,9739,11.8009362220764,1
250,750,10,153,9856,17.3787624835968,1
250,1000,1,172,10150,144.478379964829,1
250,1000,2,166,11269,300.0387570858,0
250,1000,3,166,11035,271.64412856102,1
250,1000,4,168,10394,237.894374608994,1
250,1000,5,166,10279,123.088029384613,1
250,1000,6,169,10827,299.990012407303,0
250,1000,7,173,10840,188.265807628632,1
250,1000,8,172,10818,300.041217327118,0
250,1000,9,168,10434,219.257059812546,1
250,1000,10,170,11201,300.025957345963,0
250,2000,1,198,13379,299.823751449585,0
250,2000,2,196,12575,299.784021139145,0
250,2000,3,199,13122,299.812792539597,0
250,2000,4,199,12745,299.802842140198,0
250,2000,5,200,12828,299.760977983475,0
250,2000,6,199,12628,299.821108818054,0
250,2000,7,200,13224,299.802504777908,0
250,2000,8,197,12882,299.816206455231,0
